"","unit","coicop","geo","time","values"
"529","I05","CP00","DE",2003-07-01,96.5
"530","I05","CP00","FR",2003-07-01,95.68
"531","I05","CP00","PL",2003-07-01,94.1
"532","I05","CP00","DE",2003-06-01,96.3
"533","I05","CP00","FR",2003-06-01,95.79
"534","I05","CP00","PL",2003-06-01,94.5
"535","I05","CP00","DE",2003-05-01,96
"536","I05","CP00","FR",2003-05-01,95.6
"537","I05","CP00","PL",2003-05-01,94.7
"538","I05","CP00","DE",2003-04-01,96.3
"539","I05","CP00","FR",2003-04-01,95.67
"540","I05","CP00","PL",2003-04-01,94.7
"541","I05","CP00","DE",2003-03-01,96.5
"542","I05","CP00","FR",2003-03-01,95.82
"543","I05","CP00","PL",2003-03-01,94.5
"544","I05","CP00","DE",2003-02-01,96.4
"545","I05","CP00","FR",2003-02-01,95.42
"546","I05","CP00","PL",2003-02-01,94.2
"547","I05","CP00","DE",2003-01-01,95.9
"548","I05","CP00","FR",2003-01-01,94.68
"549","I05","CP00","PL",2003-01-01,94.1
"550","I05","CP00","DE",2002-12-01,95.9
"551","I05","CP00","FR",2002-12-01,94.49
"552","I05","CP00","PL",2002-12-01,93.7
"553","I05","CP00","DE",2002-11-01,94.9
"554","I05","CP00","FR",2002-11-01,94.33
"555","I05","CP00","PL",2002-11-01,93.7
"556","I05","CP00","DE",2002-10-01,95.2
"557","I05","CP00","FR",2002-10-01,94.38
"558","I05","CP00","PL",2002-10-01,93.7
"559","I05","CP00","DE",2002-09-01,95.4
"560","I05","CP00","FR",2002-09-01,94.22
"561","I05","CP00","PL",2002-09-01,93.4
"562","I05","CP00","DE",2002-08-01,95.5
"563","I05","CP00","FR",2002-08-01,94.04
"564","I05","CP00","PL",2002-08-01,93.1
"565","I05","CP00","DE",2002-07-01,95.7
"566","I05","CP00","FR",2002-07-01,93.83
"567","I05","CP00","PL",2002-07-01,93.5
"568","I05","CP00","DE",2002-06-01,95.4
"569","I05","CP00","FR",2002-06-01,93.91
"570","I05","CP00","PL",2002-06-01,94
"571","I05","CP00","DE",2002-05-01,95.4
"572","I05","CP00","FR",2002-05-01,93.96
"573","I05","CP00","PL",2002-05-01,94.4
"574","I05","CP00","DE",2002-04-01,95.3
"575","I05","CP00","FR",2002-04-01,93.83
"576","I05","CP00","PL",2002-04-01,94.6
"577","I05","CP00","DE",2002-03-01,95.4
"578","I05","CP00","FR",2002-03-01,93.45
"579","I05","CP00","PL",2002-03-01,94.1
"580","I05","CP00","DE",2002-02-01,95.2
"581","I05","CP00","FR",2002-02-01,93.04
